Instability,Abstractness
0.666667,0
0.666667,0
0.9,0
0.666667,0
0.9,0
0.904762,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.893471,0.1
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.893471,0.1
0.892256,0.096774
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.893471,0.1
0.892256,0.096774
0.899083,0.09375
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.893471,0.1
0.892256,0.096774
0.899083,0.09375
0.900875,0.090909
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
0.88,0.125
0.886905,0.117647
0.887006,0.111111
0.892857,0.105263
0.892019,0.095238
0.886878,0.090909
0.893004,0.086957
0.896296,0.083333
0.895307,0.08
0.893471,0.1
0.892256,0.096774
0.899083,0.09375
0.900875,0.090909
0.90085,0.085714
0.666667,0
0.9,0
0.904762,0
0.875,0
0.851852,0
0.827586,0
0.8125,0
0.794118,0
0.816327,0
0.847222,0
0.864583,0
0.861386,0
0.867257,0
0.872,0
0.876812,0.133333
